state,date,policy_detail
Colorado,2020-03-10,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 12 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 8 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 5 days ago."
Colorado,2020-03-11,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 13 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 9 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 6 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic."
Colorado,2020-03-12,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 14 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 10 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 7 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced today.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced today.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced today."
Colorado,2020-03-13,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 15 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 11 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 8 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 1 day ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 1 day ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 1 day ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic."
Colorado,2020-03-14,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 16 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 12 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 9 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 2 days ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 2 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 2 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic."
Colorado,2020-03-15,"Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 17 days ago.

Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 13 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 10 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 3 days ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 3 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 3 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic.

Workplace closing (Record closings of workplaces): ""require closing (or work from home) for some sectors or categories of workers"" (state-wide) was introduced today."
Colorado,2020-03-16,"Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 14 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 11 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 4 days ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 4 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 4 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic.

Workplace closing (Record closings of workplaces): ""require closing (or work from home) for some sectors or categories of workers"" (state-wide) was introduced 1 day ago.

School closing (Record closings of schools and universities): ""require closing (only some levels or categories, e.g. just high school, or just public schools)"" (targeted in part of the state) was introduced today.

Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 18 days ago; ""coordinated public information campaign (e.g. across traditional and social media)"" (state-wide) was introduced today."
Colorado,2020-03-17,"Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 15 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 12 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 5 days ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 5 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 5 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic.

Workplace closing (Record closings of workplaces): ""require closing (or work from home) for some sectors or categories of workers"" (state-wide) was introduced 2 days ago.

School closing (Record closings of schools and universities): ""require closing (only some levels or categories, e.g. just high school, or just public schools)"" (targeted in part of the state) was introduced 1 day ago.

Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 19 days ago; ""coordinated public information campaign (e.g. across traditional and social media)"" (state-wide) was introduced 1 day ago."
Colorado,2020-03-18,"Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 16 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 13 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 6 days ago.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 6 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 6 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic.

Workplace closing (Record closings of workplaces): ""require closing (or work from home) for some sectors or categories of workers"" (state-wide) was introduced 3 days ago.

School closing (Record closings of schools and universities): ""require closing (only some levels or categories, e.g. just high school, or just public schools)"" (targeted in part of the state) was introduced 2 days ago.

Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 20 days ago; ""coordinated public information campaign (e.g. across traditional and social media)"" (state-wide) was introduced 2 days ago."
Colorado,2020-03-19,"Testing policy (Record government policy on who has access to testing for current infection not for immunity): ""only those who both (a) have symptoms AND (b) meet specific criteria (e.g. key workers, admitted to hospital, came into contact with a known case, returned from overseas)"" was introduced 17 days ago.

Contact tracing (Record government policy on contact tracing after a positive diagnosis): ""limited contact tracing; not done for all cases"" was introduced 14 days ago.

After more than 100,000+ cases in 114 countries and 4,000+ deaths, the WHO declares the disease as a pandemic.

Restrictions on gatherings (Record the cut-off size for limits on gatherings): ""restrictions on gatherings between 11-100 people"" (targeted in part of the state) was introduced 7 days ago.

Protection of elderly people (Record policies for protecting elderly people (as defined locally) in Long Term Care Facilities and/or the community and home setting): ""Extensive restrictions for isolation and hygiene in LTCFs, all non-essential external visitors prohibited, and/or all elderly people required to stay at home and not leave the home with minimal exceptions, and receive no external visitors"" (state-wide) was introduced 7 days ago.

The Administration declares a nationwide emergency and issues an additional travel ban on non-U.S. citizens traveling from 20+ European countries due to the pandemic.

Workplace closing (Record closings of workplaces): ""require closing (or work from home) for some sectors or categories of workers"" (state-wide) was introduced 4 days ago.

School closing (Record closings of schools and universities): ""require closing (only some levels or categories, e.g. just high school, or just public schools)"" (targeted in part of the state) was introduced 3 days ago.

Public information campaigns (Record presence of public info campaigns): ""public officials urging caution about the pandemic"" (state-wide) was introduced 21 days ago; ""coordinated public information campaign (e.g. across traditional and social media)"" (state-wide) was introduced 3 days ago.

Cancel public events (Record cancelling public events): ""recommend cancelling"" (targeted in part of the state) was introduced 7 days ago; ""require cancelling"" (state-wide) was introduced today."
